date,month,temp,prec,pet,qsim,snow,soil,s1,s2
7/5/1998,7,18.6,0.0,4.209408,0.823855538965686,0.0,67.48933926096,4.067261121996145,35.09188526529008
7/6/1998,7,16.3,1.1,4.023936,0.8075436498705074,0.0,65.91070275000482,3.855847918294185,34.59341061608409
7/7/1998,7,18.7,0.0,4.217472,0.788308098538462,0.0,63.28555832325566,3.54738008483065,34.09433479967712
7/8/1998,7,20.4,0.3,4.35456,0.7705057008501004,0.0,60.95631681880959,3.290311956386604,33.589817107925114
7/9/1998,7,19.1,0.1,4.249728,0.7527080190429827,0.0,58.60177520518317,3.035243059042127,33.082536363585945
7/10/1998,7,21.4,0.1,4.4352,0.7354487120182331,0.0,56.23980639050224,2.7998585410968806,32.572647789266334
7/11/1998,7,14.8,4.1,3.9029760000000002,0.7268020752439175,0.0,57.99013504331282,2.8526106677733485,32.06118776053585
7/12/1998,7,12.5,4.5,3.7175040000000004,0.7197766425411973,0.0,60.127839110278344,2.9508250588973732,31.562594538713803
7/13/1998,7,15.1,0.0,3.927168,0.7030204496432554,0.0,57.89786342170498,2.7147590541855835,31.078883900884396
7/14/1998,7,15.9,1.0,3.99168,0.688956259970017,0.0,56.643050365184706,2.5698458819499046,30.593044175575987
7/15/1998,7,12.2,7.0,3.693312,0.6875357806772461,0.0,61.18692686333846,2.844742298466891,30.109675586161963
7/16/1998,7,11.1,2.5,3.6046080000000003,0.6776808382691744,0.0,61.39834002280412,2.822881816064436,29.649719189362067
7/17/1998,7,9.5,0.4,3.475584,0.6628644033120394,0.0,59.7499046048004,2.6302341794826165,29.197868896378047
7/18/1998,7,11.4,7.3,3.6288,0.6645450218143945,0.0,64.43423395939546,2.987885242196737,28.745423227424617
7/19/1998,7,11.0,5.2,3.596544,0.6633593783711415,0.0,66.9625456904789,3.2320399290474064,28.31990902498596
7/20/1998,7,11.4,6.8,3.6288,0.6682567281650674,0.0,70.77609874814534,3.6651490448765087,27.915112840938612
7/21/1998,7,9.0,7.9,3.4352640000000005,0.6794174354194142,0.0,75.46472813755612,4.287202489738035,27.540068036363664
7/22/1998,7,12.5,0.0,3.7175040000000004,0.6623993247192356,0.0,72.81537098664218,3.9442262905589915,27.203626800123292
7/23/1998,7,12.4,0.0,3.7094400000000003,0.6459959571924037,0.0,70.26457063011475,3.628688187314272,26.856765578648773
7/24/1998,7,11.4,2.3,3.6288,0.6380320642543135,0.0,69.89467127993113,3.6003590241827768,26.501064676441512
7/25/1998,7,13.7,1.5,3.8142720000000003,0.6274533724930408,0.0,68.70824861581411,3.481071527020143,26.15106133412182
7/26/1998,7,10.7,0.0,3.572352,0.6121194478215637,0.0,66.39027666983998,3.202585804858532,25.80209368379039
7/27/1998,7,12.3,0.0,3.701376,0.5973149902212457,0.0,64.06961016026301,2.9463789404698493,25.44618110035751
7/28/1998,7,13.8,0.0,3.8223360000000004,0.583011587264445,0.0,61.75687451552282,2.7106686252322616,25.084576425373854
7/29/1998,7,14.7,0.0,3.8949119999999997,0.5691828206189702,0.0,59.485294653090065,2.4938151352136804,24.71841832812799
7/30/1998,7,16.6,0.0,4.048128,0.5558041120984198,0.0,57.2111980729274,2.2943099243965857,24.348740718326113
7/31/1998,7,17.6,0.0,4.128768,0.5428525819169342,0.0,54.98047030028443,2.110765130444859,23.97648140017942
8/1/1998,8,18.5,2.1,3.4131080000000003,0.5343388835059356,0.0,55.17390899460773,2.076302764399135,23.602490028698075
8/2/1998,8,14.7,1.3,3.167932,0.524507728052457,0.0,54.73937147064544,1.9940873575191898,23.23425536634407
8/3/1998,8,12.2,22.1,3.0066319999999997,0.5544179678366778,0.0,73.8852507594808,3.234415843293831,22.869274626893144
8/4/1998,8,13.3,19.3,3.077604,0.6149543364516201,0.0,88.56409592012255,5.449404597374023,22.57360992651997
8/5/1998,8,16.9,0.0,3.309876,0.6263968490173286,0.0,85.7957875288891,4.9844819997154,22.394607957858273
8/6/1998,8,15.5,6.7,3.219548,0.6236467862630091,0.0,88.66706668201084,5.800129610116719,22.195939898686877
8/7/1998,8,14.4,0.6,3.148576,0.6495770221237431,0.0,86.51255076060254,5.407666333117588,22.042027581218974
8/8/1998,8,13.9,2.4,3.116316,0.626130535137747,0.0,85.9208175303078,5.393860385228601,21.871570346250476
8/9/1998,8,14.6,7.0,3.16148,0.6467284009032438,0.0,89.0764098721341,6.215291415669192,21.703831958586896
8/10/1998,8,13.2,0.3,3.0711519999999997,0.6701891496187308,0.0,86.73323712040528,5.7104727010432965,21.580519890198616
8/11/1998,8,13.7,11.5,3.103412,0.6915133969985532,0.0,93.54284393755394,7.360036646581739,21.43443312744681
8/12/1998,8,13.8,13.4,3.109864,0.8410776468048412,0.0,101.20563689882817,9.636696284373835,21.37374629722696
8/13/1998,8,13.8,0.1,3.109864,0.9265251611371546,0.0,98.30649876054389,8.65427410694802,21.42810618550111
8/14/1998,8,12.7,4.5,3.0388919999999997,0.8848927309617749,0.0,98.85683189597322,8.901129009053474,21.432257767138488
8/15/1998,8,11.5,23.4,2.961468,1.0485109095542935,0.0,113.54684296519045,13.932702595221732,21.448669062248392
8/16/1998,8,13.4,2.1,3.084056,1.2805763348228885,0.0,111.82391859481629,13.103819628217058,21.71633081076451
8/17/1998,8,11.9,0.2,2.987276,1.2017861230807696,0.0,108.96875773300798,11.711707938357167,21.937195175960074
8/18/1998,8,9.3,10.2,2.819524,1.1944856210960708,0.0,113.09126994634411,13.690649693034599,22.084036669358728
8/19/1998,8,9.6,10.6,2.83888,1.3630349125441006,0.0,117.1579331966207,15.848821982663498,22.326888420623284
8/20/1998,8,13.8,0.0,3.109864,1.423356187907572,0.0,114.0480691966207,14.031975124917244,22.672791751343993
8/21/1998,8,16.8,0.1,3.303424,1.2911235088769426,0.0,110.80909491597133,12.486868639327357,22.920934672562975
8/22/1998,8,15.5,0.0,3.219548,1.1757928916743734,0.0,107.58954691597133,11.107075716214801,23.08685941107808
8/23/1998,8,12.9,0.0,3.0517960000000004,1.0726629821772917,0.0,104.53775091597133,9.906655873106878,23.18047600866726
8/24/1998,8,13.7,0.0,3.103412,0.9819454975864186,0.0,101.47397047734978,8.862290609602983,23.212199282149257
8/25/1998,8,15.9,0.0,3.245356,0.9020467119305154,0.0,98.36395858829047,7.953692830354595,23.19106982698642
8/26/1998,8,14.3,0.0,3.142124,0.8315796858292732,0.0,95.4451583709397,7.163212762408498,23.124933071964424
8/27/1998,8,15.3,0.0,3.206644,0.769337392192198,0.0,92.55481325412768,6.475495103295393,23.02059504864556
8/28/1998,8,15.8,0.7,3.238904,0.7188396210866036,0.0,90.2714556202498,6.029523595502851,22.88395790283742
8/29/1998,8,16.6,2.8,3.29052,0.6944457307616153,0.0,89.69165059866006,6.063815083178549,22.727754924555814
8/30/1998,8,12.5,24.2,3.0259880000000003,0.8235432384686383,0.0,106.43675485808278,10.410822423507943,22.576390580223624
8/31/1998,8,9.9,9.5,2.858236,1.095115016457507,0.0,110.20724045032739,12.172193916207293,22.64540388979455
9/1/1998,9,12.7,1.3,2.333,1.1589232538696577,0.0,108.74783422732399,11.259714930103748,22.801105507809027
9/2/1998,9,15.0,0.1,2.4403180000000004,1.0797843545923984,0.0,106.37572737637923,10.071240840135008,22.908069144158034
9/3/1998,9,14.6,2.2,2.421654,1.0092167853166967,0.0,105.49004133248623,9.669511574810462,22.95346980328162
9/4/1998,9,9.4,19.5,2.1790220000000002,1.1323490699251648,0.0,117.04802576958272,14.427199048850381,22.977875985956512
9/5/1998,9,9.9,8.2,2.2023520000000003,1.4194643473683162,0.0,119.94714272367591,15.893694218406637,23.2396784186799
9/6/1998,9,11.0,0.0,2.2536780000000003,1.4447065212452777,0.0,117.69346472367592,14.071013970013773,23.569569561226636
9/7/1998,9,12.4,0.0,2.3190020000000002,1.310643740488104,0.0,115.37446272367592,12.485282153911982,23.801728868502792
9/8/1998,9,14.2,0.0,2.4029900000000004,1.1929341398892683,0.0,112.97147272367592,11.105695473903424,23.949958398828336
9/9/1998,9,15.0,0.0,2.4403180000000004,1.0894733056549895,0.0,110.53115472367591,9.90545506229598,24.02624400454694
9/10/1998,9,13.7,0.0,2.3796600000000003,0.9984299677921401,0.0,108.15149472367591,8.861245904197501,24.0409918775708
9/11/1998,9,11.4,0.0,2.272342,0.918210500014015,0.0,105.87915272367592,7.9527839366518265,24.00323433522926
9/12/1998,9,10.8,6.8,2.244346,0.9083285716478926,0.0,108.405018727076,9.192439930271863,23.920808845357268
9/13/1998,9,11.0,0.6,2.2536780000000003,0.947069666146668,0.0,106.56201758861917,8.43024587779335,23.902014664963716
9/14/1998,9,11.8,2.2,2.2910060000000003,0.9022594862074695,0.0,105.80424353540873,8.244581966890662,23.84548666555411
9/15/1998,9,12.2,12.5,2.30967,0.9785972847243695,0.0,112.270994838836,11.14173552560284,23.78080603058756
9/16/1998,9,11.9,22.4,2.295672,1.3191785525743707,0.0,124.70059132714016,17.611541418970326,23.86227668625595
9/17/1998,9,10.3,5.0,2.2210160000000005,1.65513164609877,0.0,125.28703600562211,17.758080356022223,24.265608223479347
9/18/1998,9,9.6,1.5,2.1883540000000004,1.628510543409101,0.0,123.9336277796357,16.358084135725743,24.668200076810873
9/19/1998,9,8.3,5.5,2.1276960000000003,1.5798223762855772,0.0,124.9288528491147,16.85211212860237,24.992740282060943
9/20/1998,9,9.9,0.0,2.2023520000000003,1.5529605546436374,0.0,122.7265008491147,14.904837551884063,25.335491082849842
9/21/1998,9,11.0,5.1,2.2536780000000003,1.474165979015232,0.0,123.41874356441092,15.364787954842924,25.574023138787048
9/22/1998,9,9.9,40.0,2.2023520000000003,1.963267104926868,0.0,144.09685489480253,30.730402190321755,25.830782073753454
9/23/1998,9,10.1,2.1,2.211684,2.6782053112754483,0.0,142.69173843626677,28.272382364115696,26.85068654179447
9/24/1998,9,8.6,7.8,2.141694,2.6107235049990587,0.0,143.65523215271455,29.535284940332883,27.727291929164366
9/25/1998,9,8.5,6.0,2.1370280000000004,2.6944992054462817,0.0,143.84924366154806,29.608158389256104,28.64951033759772
9/26/1998,9,9.6,1.7,2.1883540000000004,2.6394096462070964,0.0,142.3180486022635,27.045438857937338,29.556928050308574
9/27/1998,9,14.2,0.0,2.4029900000000004,2.428324125733017,0.0,139.9150586022635,23.773031806405488,30.31806143219927
9/28/1998,9,8.6,0.1,2.141694,2.192663962193482,0.0,137.81589107397974,20.98351119985655,30.900351793875554
9/29/1998,9,7.2,11.1,2.0763700000000003,2.1719878677401008,0.0,140.68261243827308,24.656063379581866,31.331520317990872
9/30/1998,9,7.8,3.0,2.104366,2.3312807726136335,0.0,139.83173017776474,23.440791400744573,31.93769308061015
10/1/1998,10,9.2,9.2,0.985424,2.3554738181836608,0.0,142.76613895088823,25.917155745524283,32.47097878903518
10/2/1998,10,8.9,16.1,0.9796159999999999,2.689522457692362,0.0,148.1840707693099,32.49387768018447,33.117417000530686
10/3/1998,10,9.3,8.9,0.98736,3.093807271867768,0.0,150.2426131188051,34.36727123226529,34.079762544529295
10/4/1998,10,11.7,0.7,1.033824,3.095753169040005,0.0,149.4331820801525,30.61863301072338,35.11653085525197
10/5/1998,10,12.2,0.0,1.043504,2.812785609889711,0.0,148.3896780801525,26.881710719329337,35.9451318886831
10/6/1998,10,11.6,0.0,1.031888,2.5409094814784807,0.0,147.35779008015248,23.63058832581652,36.570314786875905
10/7/1998,10,9.7,0.0,0.995104,2.3025015297432216,0.0,146.36268608015249,20.802111843460374,37.02043790742921
10/8/1998,10,11.6,0.0,1.031888,2.0932484061164076,0.0,145.33079808015248,18.341337303810526,37.32013474145365
10/9/1998,10,10.2,1.8,1.004784,1.9433296205844854,0.0,144.99491829587907,17.33155923858857,37.490798911815105
10/10/1998,10,12.1,0.4,1.041568,1.8423876238478742,0.0,144.10335869984175,15.57194813360937,37.607560895508236
10/11/1998,10,12.1,2.4,1.041568,1.7458613541984604,0.0,143.98342538166787,15.269460194414034,37.63400708427854
10/12/1998,10,14.0,0.1,1.0783519999999998,1.680551264209266,0.0,142.94359523606505,13.589408514743036,37.64479995231366
10/13/1998,10,13.7,1.9,1.072544,1.5838371940811025,0.0,142.62269395176284,13.21464269212866,37.57137437900454
10/14/1998,10,12.8,7.8,1.05512,1.6597371563063157,0.0,144.6780983879393,16.429714705975503,37.480679026030884
10/15/1998,10,9.0,6.2,0.981552,1.8808073791044952,0.0,146.04154417582,18.392354006317973,37.55255118080904
10/16/1998,10,7.3,0.1,0.9486399999999999,1.9197923939378925,0.0,145.12934094558935,16.308411215727286,37.72111785750876
10/17/1998,10,5.8,0.0,0.9196,1.7605174147397453,0.0,144.20974094558935,14.43181775768274,37.78211606114495
10/18/1998,10,7.6,0.0,0.954448,1.6170276239157801,0.0,143.25529294558933,12.799181449183983,37.74806462780619
10/19/1998,10,7.5,0.0,0.9525119999999999,1.4904839564370864,0.0,142.30278094558932,11.378787860790066,37.63306240770926
10/20/1998,10,5.1,0.0,0.906048,1.3787175672580156,0.0,141.39673294558932,10.143045438887357,37.44934055259458
10/21/1998,10,6.1,0.0,0.9254079999999999,1.279840878169069,0.0,140.47132494558932,9.067949531832001,37.207506013487055
10/22/1998,10,8.9,0.1,0.9796159999999999,1.193951385117614,0.0,139.53369700062197,8.190628037661192,36.91675336980891
10/23/1998,10,8.6,0.0,0.973808,1.1188707877519324,0.0,138.55988900062198,7.369346392765236,36.58794970429579
10/24/1998,10,7.1,0.0,0.9447679999999999,1.0491054210863973,0.0,137.61512100062197,6.654831361705756,36.224658029848136
10/25/1998,10,5.5,0.0,0.9137919999999999,0.9868957953725372,0.0,136.70132900062197,6.033203284684008,35.83290643733646
10/26/1998,10,6.0,0.1,0.923472,0.9329225160206991,0.0,135.82343778062972,5.546806077667331,35.41790847282393
10/27/1998,10,6.1,0.0,0.9254079999999999,0.8856547546555003,0.0,134.8980297806297,5.069221287570579,34.986890607250814
10/28/1998,10,7.3,0.0,0.9486399999999999,0.8403850171738075,0.0,133.9493897806297,4.653722520186403,34.540613859484324
10/29/1998,10,10.5,1.2,1.010592,0.8287691732269167,0.0,133.51624186383992,4.903980635361248,34.08248770830396
10/30/1998,10,13.0,2.6,1.0589920000000002,0.8500779645625668,0.0,133.7186065807247,5.848606435879523,33.64603698590594
10/31/1998,10,13.1,0.0,1.060928,0.8741948811300677,0.0,132.6576785807247,5.331787599215185,33.2655465679818
11/1/1998,11,13.7,0.2,0.404928,0.8299332339769518,0.0,132.35132733589074,4.983578456151139,32.86682501658292
11/2/1998,11,11.6,0.0,0.390942,0.7922286692942782,0.0,131.96038533589075,4.5792132568514905,32.45866743905882
11/3/1998,11,8.2,4.0,0.36829799999999996,0.8272603016691593,0.0,133.5885899786356,6.216373553558497,32.03845475312022
11/4/1998,11,5.4,3.8,0.34965,0.9298102415482734,0.0,135.0799690650437,7.610715905187795,31.70850433573574
11/5/1998,11,1.9,19.2,0.32634,1.2768656980230073,0.0,143.79403517329013,17.024416729266978,31.454870044280415
11/6/1998,11,3.6,0.7,0.337662,1.7057735213437235,0.0,143.727355218312,15.483760509440387,31.676993479858158
11/7/1998,11,3.9,0.0,0.33966,1.5784720074830738,0.0,143.387695218312,13.714371643213138,31.81764163573301
11/8/1998,11,3.6,0.0,0.337662,1.4448088297520998,0.0,143.050033218312,12.17500332959543,31.867007385179004
11/9/1998,11,3.0,0.0,0.333666,1.327091101461316,0.0,142.716367218312,10.835752896748025,31.838417403955194
11/10/1998,11,2.7,0.0,0.331668,1.2232745294567944,0.0,142.384699218312,9.670605020170782,31.74343670071349
11/11/1998,11,3.1,0.0,0.334332,1.131580006389152,0.0,142.050367218312,8.656926367548582,31.592098217707765
11/12/1998,11,1.5,0.0,0.323676,1.0504591480050678,0.0,141.726691218312,7.775025939767266,31.39310257173104
11/13/1998,11,0.8,0.0,0.319014,0.9785643103619845,0.0,141.407677218312,7.00777256759752,31.15399181728478
11/14/1998,11,-0.7,0.1,0.309024,0.9147225045805505,0.1,141.098653218312,6.340262133809843,30.88130060931896
11/15/1998,11,-4.4,0.0,0.284382,0.8579127024593904,0.1,140.814271218312,5.759528056414563,30.580687703823074
11/16/1998,11,-4.5,0.0,0.283716,0.807246092144495,0.1,140.530555218312,5.25428940908067,30.25705035256734
11/17/1998,11,-4.1,1.8,0.28638,0.7619489003504395,1.9000000000000001,140.244175218312,4.814731785900182,29.914623815970025
11/18/1998,11,-3.7,0.1,0.289044,0.7240279558697577,2.0,139.955131218312,4.429553243028168,29.55706792894563
11/19/1998,11,-4.3,2.4,0.285048,0.7060037541579399,4.4,139.67008321831202,4.075188983585914,29.187404232518126
