,date,min_temp,mean_temp,max_temp,precipitation,liquid_outflow,qsim,snowwater,thermal
2267,2001-10-15,9.840000000000032,13.87,20.75,0.03,0.0328036446194198,0.030000001479428478,1.3314856311276355e-08,0.0
2268,2001-10-16,8.81,12.65,19.42,0.0,1.452117785235784e-08,1.331485632360834e-09,1.1983370678915521e-08,0.0
2269,2001-10-17,8.710000000000036,12.5,17.93,0.0,1.3069060049146166e-08,1.1983370688904429e-09,1.078503361002508e-08,0.0
2270,2001-10-18,10.46,13.27,17.34,3.53,3.859893630137674,3.5300000010785033,9.70653024821347e-09,0.0
2271,2001-10-19,10.22,13.62,19.16,0.03,0.0328036390707164,0.030000000970653026,8.735877222736752e-09,0.0
2272,2001-10-20,8.910000000000025,12.92,15.45,4.5,4.9205442822440135,4.500000000873587,7.862289499932225e-09,0.0
2273,2001-10-21,7.56,10.69,14.08,3.17,3.4662500851327964,3.170000000786229,7.076060549509013e-09,0.0
2274,2001-10-22,6.930000000000007,9.78000000000003,16.1,0.03,0.032803636201927,0.030000000707606053,6.3684544942098206e-09,0.0
2275,2001-10-23,6.94,10.08,13.47,11.24,12.290426145908846,11.240000000636845,5.7316090445067224e-09,0.0
2276,2001-10-24,8.510000000000048,10.45,13.36,7.11,7.774459957143227,7.110000000573161,5.158448139827536e-09,0.0
2277,2001-10-25,4.4500000000000455,7.950000000000045,11.77,2.89,3.160082882992729,2.890000000515845,4.642603325659686e-09,0.0
2278,2001-10-26,4.2900000000000205,10.17,15.0,0.0,5.063221596615281e-09,4.642603327158967e-10,4.178342992943789e-09,0.0
2279,2001-10-27,8.470000000000027,10.94,15.8,0.0,4.556899434768305e-09,4.178342994158207e-10,3.760508693527969e-09,0.0
2280,2001-10-28,6.010000000000048,10.47,17.12,0.0,4.101209489521261e-09,3.7605086945116474e-10,3.3844578240768042e-09,0.0
2281,2001-10-29,5.78000000000003,10.72,18.34,0.01,0.0109345465193478,0.010000000338445782,3.046012041589446e-09,0.0
2282,2001-10-30,6.37,11.28,19.47,0.01,0.0109345461502389,0.010000000304601204,2.7414108373659624e-09,0.0
2283,2001-10-31,3.2700000000000387,10.41,18.63,14.08,15.395836305178824,14.080000000274142,2.4672697535770894e-09,0.0
2284,2001-11-01,1.8000000000000114,5.270000000000039,9.550000000000011,0.0,2.690803542480136e-09,2.467269754000531e-10,2.2205427781770365e-09,0.0
2285,2001-11-02,1.06,4.960000000000036,11.28,0.0,2.4217231876148873e-09,2.220542778520024e-10,1.998488500325034e-09,0.0
2286,2001-11-03,0.7700000000000387,4.600000000000023,12.42,0.0,2.1795508683534374e-09,1.9984885006028542e-10,1.7986396502647487e-09,0.0
2287,2001-11-04,0.660000000000025,5.160000000000025,10.49,0.02,0.020126580463022,0.020000000179863964,1.6187756852157705e-09,0.0
2288,2001-11-05,2.9600000000000364,5.390000000000043,7.79000000000002,0.0,0.0001742669196147,1.618775685398048e-10,1.4568981166759657e-09,0.0
2289,2001-11-06,3.31,5.410000000000025,6.7900000000000205,15.82,17.298603591790226,15.82000000014569,1.3112083049936047e-09,0.0
2290,2001-11-07,5.88,7.38,7.950000000000045,14.85,16.237937251478435,14.85000000013112,1.180087474482285e-09,0.0
2291,2001-11-08,-0.8999999999999773,3.420000000000016,7.330000000000041,26.7,21.442492003047278,24.13147676220864,2.5685232389714487,0.0
2292,2001-11-09,-2.819999999999993,-1.2799999999999727,0.5600000000000023,1.41,0.0172707784947293,0.2336094674556224,3.7449137715158263,-0.9599999999999795
2293,2001-11-10,-5.21999999999997,-2.039999999999964,2.450000000000045,0.0,0.0,0.0,3.7449137715158263,-1.769999999999968
2294,2001-11-11,-5.349999999999966,-1.17999999999995,3.0,0.0,0.0,0.0,3.7449137715158263,-1.3274999999999544
2295,2001-11-12,-2.19,-0.2699999999999818,1.0100000000000475,1.24,0.0677846085948516,0.3913750000000127,4.593538771515814,-0.534374999999975
2296,2001-11-13,-1.1399999999999864,2.010000000000048,4.0,0.59,0.677689824265724,1.0868408513531955,4.096697920162618,0.0
2297,2001-11-14,-4.0499999999999545,-0.6699999999999591,1.7700000000000389,0.0,0.0,0.0,4.096697920162618,-0.5024999999999693
2298,2001-11-15,-4.919999999999959,-1.4499999999999886,4.470000000000027,0.0,0.0,0.0,4.096697920162618,-1.2131249999999838
2299,2001-11-16,-3.9499999999999886,-0.5099999999999909,5.830000000000041,0.0,0.0,0.0,4.096697920162618,-0.6857812499999891
2300,2001-11-17,-3.17999999999995,1.670000000000016,7.25,0.01,0.2210256019901784,0.5338418046282614,3.572856115534357,0.0
2301,2001-11-18,0.5600000000000023,2.94,7.900000000000034,0.01,0.5873462391930551,0.4560811209020333,3.126774994632324,0.0
2302,2001-11-19,-2.599999999999966,-0.1099999999999568,2.3500000000000227,0.0,0.0,0.0,3.126774994632324,-0.0824999999999676
